area,bedrooms,bathrooms,location,property_type,age,parking,price
2853,3,3,Chennai,Apartment,10,2,21387000
2555,3,4,Trichy,Apartment,1,1,12820000
2185,4,5,Madurai,Villa,11,1,16142000
1621,2,2,Coimbatore,Apartment,11,1,7425000
3213,3,2,Kochi,Independent House,29,1,16842000
1729,2,2,Pune,Independent House,3,2,13905000
2100,3,2,Salem,Apartment,17,1,7263000
1302,3,3,Coimbatore,Independent House,25,1,6778000
3049,3,3,Trichy,Apartment,20,1,12065000
3377,3,4,Hyderabad,Apartment,30,1,20429000
2179,3,3,Madurai,Villa,6,2,13990000
761,3,4,Kochi,Apartment,28,2,3677000
801,4,4,Madurai,Villa,0,2,6029000
2581,1,1,Coimbatore,Apartment,30,3,8941000
1595,3,3,Madurai,Villa,25,2,8925000
2917,3,3,Hyderabad,Independent House,25,1,20726000
1415,3,3,Coimbatore,Independent House,22,2,7922000
1055,3,3,Kochi,Villa,25,3,7347000
1875,4,4,Chennai,Villa,12,1,19088000
1616,5,4,Pune,Villa,5,2,20032000
2943,2,3,Coimbatore,Villa,5,2,20630000
3367,2,2,Tirunelveli,Apartment,11,1,9477000
937,3,4,Hyderabad,Apartment,7,1,6368000
1478,2,2,Coimbatore,Apartment,23,1,6404000
1676,3,4,Coimbatore,Independent House,21,3,9724000
1391,4,4,Tirunelveli,Apartment,18,2,5178000
2864,2,3,Kochi,Apartment,4,1,14851000
1363,2,1,Coimbatore,Apartment,17,3,6690000
2835,2,1,Pune,Villa,30,1,16577000
979,3,2,Madurai,Villa,29,1,4849000
1092,3,2,Kochi,Apartment,4,2,5471000
1780,2,1,Pune,Apartment,29,2,9186000
2662,4,3,Kochi,Independent House,24,1,14247000
664,4,4,Pune,Apartment,9,1,5538000
3168,1,1,Hyderabad,Apartment,0,1,18284000
1967,3,4,Pune,Villa,9,1,18758000
1752,4,3,Bangalore,Independent House,4,1,18250000
2627,2,2,Pune,Apartment,11,1,14561000
3295,1,1,Chennai,Independent House,21,1,19561000
2095,1,1,Chennai,Independent House,29,1,12932000
1762,2,2,Salem,Apartment,26,0,5656000
2122,4,5,Bangalore,Independent House,6,1,21083000
3240,4,4,Bangalore,Independent House,8,2,34787000
991,2,2,Madurai,Independent House,21,2,4703000
2298,2,2,Bangalore,Villa,20,1,20162000
1018,2,2,Madurai,Apartment,11,0,3616000
2936,2,1,Salem,Apartment,22,1,8359000
978,4,3,Salem,Apartment,28,1,3387000
2396,2,2,Hyderabad,Apartment,0,1,16128000
2878,2,3,Chennai,Apartment,10,1,19283000
2688,2,2,Pune,Independent House,29,1,16209000
2782,3,4,Pune,Independent House,20,2,23309000
800,2,2,Tirunelveli,Villa,14,1,3356000
2463,3,2,Tirunelveli,Independent House,1,1,11274000
1379,2,3,Trichy,Independent House,19,2,6084000
1102,4,5,Kochi,Apartment,6,1,6383000
3054,3,2,Hyderabad,Apartment,20,1,18968000
2351,2,2,Trichy,Apartment,11,1,8654000
1404,3,2,Trichy,Villa,21,1,6519000
2746,4,5,Coimbatore,Apartment,17,2,15602000
3331,4,4,Coimbatore,Villa,2,1,26355000
2495,3,3,Trichy,Apartment,6,1,10723000
3373,3,2,Bangalore,Villa,10,1,36490000
2170,4,5,Kochi,Independent House,17,0,15648000
1560,3,3,Hyderabad,Villa,11,2,14934000
3260,1,2,Trichy,Independent House,5,2,13062000
2085,4,4,Pune,Independent House,4,1,19207000
3290,2,2,Kochi,Independent House,25,1,14438000
1628,3,3,Coimbatore,Independent House,0,1,12464000
1102,2,2,Pune,Independent House,11,2,7909000
3414,1,1,Coimbatore,Villa,26,1,17460000
997,2,2,Coimbatore,Apartment,30,0,4149000
1470,4,4,Kochi,Apartment,25,1,7337000
3442,2,2,Coimbatore,Villa,10,1,21719000
992,2,2,Salem,Apartment,3,1,4130000
806,2,2,Chennai,Apartment,26,0,4884000
1638,3,4,Salem,Independent House,17,1,7220000
2481,5,6,Chennai,Independent House,3,1,28510000
2084,3,3,Tirunelveli,Independent House,16,1,8853000
1463,3,3,Tirunelveli,Apartment,1,2,5030000
3390,4,3,Coimbatore,Apartment,28,0,16284000
1163,3,2,Hyderabad,Apartment,23,1,6032000
1620,2,1,Hyderabad,Apartment,21,2,8402000
695,2,2,Chennai,Apartment,1,1,4503000
2523,2,2,Pune,Apartment,11,1,14825000
2357,2,2,Kochi,Independent House,30,2,10431000
3132,3,2,Coimbatore,Villa,5,1,23319000
2878,4,4,Kochi,Apartment,9,3,18696000
3396,2,2,Salem,Apartment,24,1,11067000
2278,3,2,Hyderabad,Apartment,22,1,13706000
1140,3,2,Bangalore,Apartment,24,1,7817000
1659,2,1,Salem,Independent House,20,1,5604000
3172,4,4,Salem,Apartment,22,2,11724000
1783,3,3,Chennai,Apartment,26,2,12338000
2322,2,2,Madurai,Apartment,15,2,8744000
2419,3,4,Salem,Apartment,30,3,7778000
3225,3,3,Coimbatore,Villa,13,2,24178000
3329,3,3,Trichy,Villa,6,1,18543000
3204,3,3,Trichy,Villa,27,1,14633000
2197,3,3,Coimbatore,Apartment,27,1,11302000
3293,4,5,Madurai,Villa,18,0,22184000
1395,2,3,Madurai,Villa,22,2,7027000
1651,2,2,Chennai,Independent House,16,1,13419000
2243,1,1,Hyderabad,Apartment,8,0,11894000
1963,4,4,Kochi,Apartment,25,0,10208000
2581,2,2,Madurai,Villa,12,1,12269000
1954,4,3,Bangalore,Villa,21,1,18396000
2263,3,3,Chennai,Apartment,4,1,17785000
2129,4,3,Tirunelveli,Apartment,22,1,7550000
2638,5,4,Pune,Apartment,4,1,22606000
2096,4,4,Tirunelveli,Independent House,9,2,8996000
2837,4,4,Chennai,Apartment,20,1,19234000
2008,3,3,Salem,Independent House,26,1,8727000
2000,3,2,Kochi,Apartment,9,1,9439000
1906,2,2,Pune,Independent House,26,1,11973000
3280,2,2,Tirunelveli,Independent House,6,0,11051000
3275,3,3,Pune,Apartment,25,1,17611000
1572,3,4,Bangalore,Independent House,14,1,15231000
2368,2,2,Bangalore,Apartment,6,1,17703000
1882,3,3,Bangalore,Independent House,28,1,14400000
1309,4,3,Chennai,Villa,26,1,11229000
2079,3,4,Kochi,Apartment,14,2,11698000
2034,3,3,Chennai,Villa,2,1,20126000
1248,4,4,Trichy,Independent House,18,3,6866000
917,5,4,Salem,Apartment,9,1,4771000
1857,3,3,Salem,Villa,27,1,7813000
1283,4,3,Bangalore,Villa,28,2,13490000
1263,5,5,Trichy,Independent House,14,2,7138000
2598,4,5,Madurai,Apartment,2,1,14247000
2231,2,3,Madurai,Apartment,5,1,9380000
2095,3,4,Bangalore,Apartment,11,0,18168000
1736,2,2,Tirunelveli,Villa,14,0,6457000
2453,1,1,Chennai,Apartment,5,1,14362000
2120,3,3,Bangalore,Independent House,12,1,21348000
3089,3,2,Hyderabad,Apartment,28,1,16449000
1163,4,4,Pune,Villa,18,1,10988000
1891,2,3,Salem,Apartment,2,2,7191000
2236,4,5,Madurai,Apartment,7,2,12257000
1298,3,3,Coimbatore,Apartment,7,3,6911000
2760,3,3,Madurai,Apartment,22,1,9987000
601,4,5,Salem,Villa,25,2,3483000
1241,3,4,Pune,Independent House,19,2,9511000
2867,2,2,Salem,Villa,14,1,14221000
2189,4,4,Coimbatore,Independent House,3,1,18198000
1454,2,2,Bangalore,Independent House,18,3,12150000
2359,1,1,Trichy,Villa,20,1,10175000
3032,4,4,Coimbatore,Independent House,2,1,24242000
2261,2,3,Salem,Villa,12,1,10094000
1753,4,4,Salem,Apartment,7,1,8262000
1676,2,3,Hyderabad,Villa,22,2,11699000
2307,4,5,Hyderabad,Apartment,15,1,15812000
3377,2,1,Kochi,Villa,12,1,21205000
2295,5,5,Hyderabad,Villa,2,1,26254000
2333,4,4,Chennai,Apartment,15,1,19264000
2039,2,3,Trichy,Apartment,8,1,7625000
2894,3,3,Pune,Independent House,27,1,20402000
1435,5,4,Coimbatore,Villa,13,2,11303000
802,3,4,Salem,Apartment,12,0,3244000
722,2,2,Kochi,Villa,20,1,4467000
1000,3,3,Kochi,Villa,24,2,6517000
1366,3,2,Pune,Apartment,6,1,8845000
893,3,3,Trichy,Independent House,14,2,4135000
2927,3,4,Coimbatore,Villa,6,2,21443000
797,3,3,Madurai,Apartment,5,2,4038000
2530,2,1,Hyderabad,Independent House,1,1,19803000
3399,3,3,Bangalore,Independent House,8,1,30328000
2791,3,3,Kochi,Apartment,21,1,13772000
1208,2,2,Hyderabad,Apartment,23,1,6773000
1747,4,4,Hyderabad,Apartment,16,2,12157000
786,3,3,Chennai,Villa,4,2,8636000
3111,3,2,Trichy,Villa,11,2,17908000
2394,4,4,Bangalore,Villa,0,3,29046000
1259,3,4,Madurai,Independent House,9,2,6919000
3411,4,4,Salem,Independent House,10,1,15897000
2555,3,3,Chennai,Apartment,15,1,19424000
3050,1,1,Hyderabad,Apartment,13,2,16611000
1969,3,2,Hyderabad,Apartment,7,1,13368000
2586,3,4,Tirunelveli,Apartment,23,0,7286000
2134,3,2,Bangalore,Villa,16,1,20283000
746,2,2,Bangalore,Independent House,24,2,5269000
2334,2,2,Tirunelveli,Apartment,17,1,6055000
2443,2,2,Bangalore,Villa,11,2,23390000
1088,2,2,Hyderabad,Independent House,24,2,7529000
2559,3,3,Kochi,Apartment,16,1,13665000
2263,2,2,Coimbatore,Apartment,27,0,9681000
3198,3,2,Hyderabad,Apartment,25,1,16014000
2985,3,2,Chennai,Apartment,13,2,19593000
1240,3,3,Trichy,Independent House,15,2,5944000
2402,4,5,Tirunelveli,Apartment,13,2,9740000
3120,3,2,Madurai,Apartment,8,1,14374000
2569,4,4,Salem,Apartment,3,1,11538000
2798,3,3,Madurai,Independent House,24,1,12849000
2038,2,2,Hyderabad,Apartment,22,2,9812000
2234,5,5,Chennai,Apartment,10,1,18885000
862,2,3,Hyderabad,Apartment,5,1,5475000
2387,1,1,Trichy,Apartment,14,1,7028000
2791,4,4,Kochi,Apartment,4,0,16594000
2993,1,2,Salem,Villa,10,1,13891000
1223,4,4,Trichy,Apartment,24,1,5134000
1616,3,3,Tirunelveli,Apartment,17,1,4792000
1480,4,4,Tirunelveli,Independent House,29,1,5299000
2649,3,3,Hyderabad,Apartment,12,2,16976000
1927,3,3,Chennai,Apartment,10,2,13806000
2901,4,5,Trichy,Apartment,13,1,13078000
1052,2,3,Pune,Independent House,27,2,7031000
1783,5,6,Chennai,Apartment,17,1,15504000
2656,2,2,Kochi,Independent House,26,1,13530000
2282,3,3,Tirunelveli,Independent House,27,2,7857000
3463,2,2,Hyderabad,Apartment,30,2,17773000
2855,3,2,Bangalore,Independent House,24,2,21989000
1754,2,3,Tirunelveli,Apartment,27,1,4371000
1003,4,4,Salem,Apartment,18,0,4036000
2799,4,3,Coimbatore,Independent House,23,2,17876000
2701,5,5,Bangalore,Villa,26,1,32180000
2296,2,3,Hyderabad,Villa,14,1,18857000
1227,3,3,Pune,Apartment,8,2,9385000
1186,3,4,Bangalore,Apartment,7,2,10860000
2248,2,2,Salem,Independent House,19,2,9064000
2043,2,2,Chennai,Apartment,27,1,11425000
2045,3,3,Pune,Apartment,0,2,15362000
703,3,3,Tirunelveli,Apartment,3,0,2736000
853,3,3,Pune,Apartment,13,0,5868000
3157,3,3,Trichy,Independent House,24,1,12772000
2096,1,1,Salem,Apartment,1,0,7244000
698,1,1,Bangalore,Independent House,15,1,4684000
2800,1,1,Trichy,Apartment,2,2,9893000
2484,5,4,Pune,Villa,25,1,21826000
2519,1,1,Trichy,Apartment,7,1,8843000
1477,2,3,Madurai,Apartment,5,1,6901000
937,2,2,Salem,Apartment,15,1,3106000
3469,4,4,Kochi,Apartment,23,1,16221000
1556,5,6,Chennai,Apartment,15,2,13166000
2304,4,4,Pune,Independent House,6,2,22256000
760,3,3,Salem,Villa,29,1,3341000
2203,3,4,Kochi,Apartment,12,2,11325000
3448,1,1,Kochi,Apartment,12,1,12990000
997,5,4,Hyderabad,Apartment,4,1,8108000
1900,4,3,Trichy,Villa,24,2,9789000
1415,3,3,Kochi,Independent House,19,1,8593000
2127,4,4,Madurai,Independent House,21,3,10656000
2519,3,2,Salem,Apartment,17,1,9259000
2015,3,3,Coimbatore,Apartment,14,2,10253000
1758,5,5,Coimbatore,Apartment,17,1,10971000
1818,4,4,Pune,Villa,1,1,18927000
1000,3,3,Tirunelveli,Villa,9,1,4920000
1239,3,2,Trichy,Villa,22,2,6811000
3335,1,1,Tirunelveli,Villa,12,1,12774000
1059,3,4,Kochi,Apartment,17,3,5853000
1554,1,1,Salem,Independent House,14,1,5573000
1069,3,2,Pune,Apartment,30,1,6226000
1645,5,5,Bangalore,Villa,11,1,21571000
3397,3,3,Kochi,Apartment,14,1,15964000
2293,3,3,Trichy,Apartment,12,2,10202000
2685,2,2,Coimbatore,Independent House,17,1,14555000
2877,2,2,Hyderabad,Independent House,14,2,18250000
1162,3,2,Salem,Independent House,24,1,4507000
3085,2,2,Chennai,Apartment,22,1,17110000
2399,2,3,Tirunelveli,Villa,10,2,10411000
2674,3,2,Pune,Apartment,18,1,15357000
825,4,4,Tirunelveli,Independent House,2,1,3769000
1397,3,4,Salem,Apartment,6,3,5766000
2931,1,1,Tirunelveli,Independent House,20,2,8895000
1559,3,3,Salem,Independent House,25,1,6738000
2104,3,3,Tirunelveli,Villa,13,1,9078000
1052,3,4,Madurai,Apartment,13,1,4351000
1415,3,3,Bangalore,Apartment,21,1,9291000
1258,2,1,Kochi,Independent House,12,2,7419000
1146,3,4,Kochi,Apartment,11,2,6354000
1815,3,2,Trichy,Independent House,23,1,7755000
616,4,4,Chennai,Apartment,8,1,4678000
1843,3,4,Chennai,Apartment,0,1,15806000
2805,3,3,Trichy,Independent House,18,1,13132000
3124,3,4,Hyderabad,Villa,10,0,26454000
1669,3,3,Kochi,Villa,22,1,9724000
3165,4,4,Hyderabad,Villa,21,1,27055000
2746,3,3,Salem,Apartment,22,1,10304000
2368,3,3,Salem,Independent House,23,1,10611000
1660,3,3,Coimbatore,Apartment,21,1,8441000
2927,3,4,Tirunelveli,Independent House,18,0,11851000
3144,3,4,Chennai,Independent House,17,1,24570000
901,4,5,Coimbatore,Apartment,11,1,5772000
780,3,3,Bangalore,Villa,22,1,7687000
1206,3,2,Trichy,Villa,27,1,5325000
1299,5,6,Trichy,Apartment,27,2,6460000
1592,1,1,Salem,Independent House,27,3,5064000
1739,2,3,Kochi,Apartment,26,2,7184000
790,2,2,Hyderabad,Apartment,0,1,5210000
2900,4,4,Chennai,Apartment,18,2,22452000
1580,1,1,Coimbatore,Apartment,27,2,6263000
2606,1,1,Hyderabad,Villa,26,0,14136000
1784,1,1,Coimbatore,Independent House,19,1,9134000
727,1,1,Tirunelveli,Villa,28,2,2494000
2665,1,1,Bangalore,Villa,29,1,18281000
2416,3,3,Bangalore,Apartment,16,0,19399000
2358,3,2,Hyderabad,Apartment,4,2,16462000
3213,2,2,Hyderabad,Apartment,25,2,15115000
1169,2,2,Hyderabad,Apartment,2,1,7716000
1946,1,1,Coimbatore,Villa,1,1,11203000
2495,2,1,Tirunelveli,Apartment,30,1,5493000
3333,3,3,Madurai,Apartment,2,2,15605000
1225,3,2,Hyderabad,Apartment,7,1,8741000
2286,1,1,Kochi,Independent House,15,1,10071000
754,3,4,Chennai,Independent House,5,2,7607000
3137,2,2,Chennai,Villa,12,1,25188000
2009,4,4,Coimbatore,Independent House,29,2,12909000
1384,3,3,Hyderabad,Independent House,22,1,9740000
845,3,3,Salem,Villa,27,1,4047000
2100,2,2,Trichy,Apartment,21,1,6715000
2305,4,4,Madurai,Independent House,21,1,12881000
3406,1,1,Kochi,Villa,15,1,19733000
1137,2,1,Tirunelveli,Villa,27,1,4034000
2490,2,3,Salem,Independent House,15,2,10541000
2441,2,2,Bangalore,Apartment,2,3,20027000
1520,5,4,Salem,Villa,27,3,7599000
3055,4,5,Coimbatore,Independent House,12,1,23452000
1124,2,2,Madurai,Apartment,13,1,4775000
3475,3,3,Pune,Villa,7,1,29550000
2129,5,5,Pune,Apartment,11,2,17290000
635,4,4,Hyderabad,Villa,22,1,5292000
1284,3,3,Hyderabad,Independent House,22,3,9462000
619,4,4,Coimbatore,Apartment,21,1,3607000
2968,5,4,Tirunelveli,Villa,20,3,14301000
3159,3,4,Hyderabad,Apartment,25,2,18473000
999,1,1,Trichy,Villa,7,2,4570000
3301,3,3,Madurai,Apartment,20,1,13000000
1571,4,3,Coimbatore,Independent House,24,0,8943000
2506,2,2,Chennai,Apartment,8,1,17847000
3118,4,4,Bangalore,Villa,0,1,35446000
1766,2,2,Coimbatore,Apartment,5,0,9581000
1715,1,1,Coimbatore,Independent House,22,1,8099000
1433,2,3,Pune,Independent House,18,1,9760000
2423,1,1,Kochi,Independent House,22,1,11169000
3374,5,5,Tirunelveli,Independent House,10,1,16640000
2582,4,4,Kochi,Independent House,10,1,17820000
1453,4,3,Trichy,Apartment,22,3,5714000
650,3,4,Chennai,Apartment,29,1,4111000
1174,2,2,Pune,Apartment,12,1,6683000
1748,3,4,Chennai,Independent House,10,1,14288000
2797,3,3,Trichy,Independent House,17,2,12920000
2961,3,4,Kochi,Apartment,22,0,12990000
3217,2,2,Coimbatore,Independent House,14,1,17265000
2952,3,3,Hyderabad,Villa,0,1,25761000
2315,3,4,Hyderabad,Villa,20,1,17652000
1281,5,4,Salem,Apartment,24,1,4956000
1437,4,4,Bangalore,Apartment,6,3,14489000
1677,3,3,Tirunelveli,Villa,22,3,6520000
3091,3,2,Trichy,Villa,26,0,14673000
3260,3,4,Bangalore,Apartment,12,1,23939000
2911,1,1,Tirunelveli,Villa,11,1,11275000
2195,4,3,Bangalore,Independent House,17,1,18955000
604,4,5,Kochi,Independent House,23,1,4293000
1726,3,2,Tirunelveli,Independent House,18,1,6514000
1819,2,1,Kochi,Apartment,14,3,7385000
1373,2,2,Coimbatore,Apartment,7,3,7826000
1476,3,4,Pune,Villa,18,0,12917000
1591,1,1,Kochi,Apartment,9,1,6331000
646,4,4,Hyderabad,Apartment,6,1,5179000
3470,1,1,Bangalore,Apartment,17,1,21639000
3303,2,1,Salem,Apartment,15,1,10579000
868,4,3,Madurai,Apartment,19,1,3760000
969,3,4,Tirunelveli,Apartment,26,2,3378000
1235,2,3,Trichy,Apartment,5,2,5422000
1729,2,2,Salem,Apartment,26,1,5696000
2293,1,1,Hyderabad,Villa,8,2,16861000
2282,3,3,Kochi,Villa,20,1,13891000
1256,1,1,Pune,Villa,12,1,9688000
719,3,2,Coimbatore,Apartment,24,1,3172000
1430,5,4,Madurai,Apartment,30,1,5957000
2410,2,1,Chennai,Villa,20,1,18590000
1681,4,4,Salem,Villa,25,1,8705000
2574,5,5,Pune,Apartment,7,3,19804000
1969,1,1,Chennai,Apartment,15,1,11431000
1340,4,4,Madurai,Independent House,12,1,7594000
716,3,4,Trichy,Apartment,12,1,3094000
2453,4,5,Trichy,Apartment,16,2,11948000
3438,3,3,Bangalore,Villa,22,1,31496000
1750,3,2,Madurai,Apartment,19,3,6604000
2531,3,3,Madurai,Apartment,4,2,11188000
1612,4,4,Chennai,Apartment,21,1,12867000
2264,3,3,Pune,Independent House,20,2,15461000
1681,3,3,Tirunelveli,Apartment,27,0,4658000
1233,4,5,Chennai,Apartment,16,1,9790000
1112,2,2,Coimbatore,Apartment,27,2,4870000
3449,2,2,Trichy,Independent House,8,0,13958000
1719,2,2,Trichy,Apartment,1,1,6973000
1741,2,2,Bangalore,Independent House,24,1,12513000
1159,2,2,Coimbatore,Apartment,25,1,5492000
1087,4,4,Trichy,Independent House,17,3,5628000
1496,2,1,Chennai,Independent House,8,1,11108000
1812,3,4,Coimbatore,Apartment,5,2,10718000
1303,2,2,Chennai,Apartment,10,1,8355000
2070,4,4,Tirunelveli,Apartment,24,2,7274000
1180,5,5,Tirunelveli,Apartment,28,1,3958000
3437,3,3,Trichy,Villa,5,1,18984000
2894,4,5,Trichy,Apartment,5,2,15190000
753,1,1,Pune,Apartment,12,1,4044000
2279,4,4,Tirunelveli,Apartment,10,1,8454000
1596,2,2,Salem,Independent House,13,1,6149000
3344,4,5,Salem,Apartment,1,2,15209000
1843,1,1,Bangalore,Apartment,7,1,10494000
1692,3,3,Tirunelveli,Apartment,2,3,5978000
1608,4,4,Chennai,Independent House,22,1,14110000
2741,2,2,Chennai,Villa,20,1,23625000
2373,2,1,Hyderabad,Apartment,2,2,13701000
1557,1,1,Coimbatore,Apartment,0,2,7235000
1052,2,1,Kochi,Apartment,23,2,4081000
1827,3,3,Salem,Apartment,18,3,6862000
2865,2,2,Trichy,Independent House,17,1,10918000
3121,2,1,Bangalore,Independent House,16,1,25640000
3079,1,1,Kochi,Apartment,19,0,11886000
2988,4,4,Madurai,Independent House,28,2,16432000
1150,2,2,Bangalore,Apartment,23,2,7900000
2235,2,2,Madurai,Villa,12,1,11679000
1912,1,1,Tirunelveli,Independent House,2,1,6633000
2357,3,3,Madurai,Apartment,29,0,8083000
956,4,4,Madurai,Independent House,0,2,6298000
2670,2,2,Pune,Apartment,3,1,18466000
2385,2,2,Pune,Apartment,24,1,11537000
3169,4,5,Pune,Apartment,12,1,25729000
2381,4,4,Tirunelveli,Apartment,16,2,8392000
3449,2,2,Kochi,Villa,27,2,20034000
3409,4,4,Bangalore,Independent House,29,1,31958000
3089,4,4,Bangalore,Villa,10,1,37054000
2231,2,2,Trichy,Independent House,1,1,11127000
3416,4,4,Pune,Independent House,24,2,26741000
1615,3,2,Tirunelveli,Apartment,15,3,5803000
1948,3,3,Trichy,Apartment,1,1,9620000
1115,1,2,Coimbatore,Apartment,28,0,4409000
3439,1,2,Trichy,Villa,18,0,14981000
935,4,3,Kochi,Independent House,22,1,5819000
2382,5,5,Salem,Apartment,18,2,11447000
2905,3,3,Madurai,Villa,24,0,15208000
1096,3,3,Pune,Villa,15,1,10214000
1495,3,3,Salem,Villa,21,1,7215000
2807,3,3,Trichy,Apartment,18,0,9822000
1451,2,2,Tirunelveli,Apartment,8,1,4458000
2287,1,1,Madurai,Apartment,0,1,8607000
2531,4,5,Bangalore,Apartment,9,1,21071000
3337,2,2,Chennai,Apartment,18,2,18682000
3027,4,4,Madurai,Villa,0,1,21839000
2168,2,2,Kochi,Apartment,1,1,9999000
1556,1,1,Kochi,Independent House,15,3,7377000
3338,2,1,Trichy,Apartment,11,1,12419000
2236,3,3,Coimbatore,Villa,7,2,18640000
1891,4,3,Kochi,Apartment,22,0,9756000
2040,2,3,Kochi,Villa,17,0,13592000
1791,4,4,Tirunelveli,Independent House,1,0,8933000
1666,3,3,Trichy,Apartment,24,1,5926000
884,4,5,Madurai,Apartment,28,1,4015000
3044,2,2,Coimbatore,Independent House,12,3,18505000
611,4,4,Salem,Apartment,5,1,2804000
2230,4,3,Chennai,Apartment,20,1,14353000
3146,2,2,Pune,Apartment,25,1,17180000
1353,2,2,Bangalore,Apartment,5,1,8945000
2682,4,3,Kochi,Villa,8,1,21021000
3374,5,6,Trichy,Apartment,15,1,15648000
3496,1,2,Pune,Independent House,10,2,23687000
689,3,4,Bangalore,Independent House,6,3,7304000
1375,4,5,Bangalore,Villa,30,1,12361000
3252,4,4,Salem,Villa,9,1,18571000
2225,5,5,Salem,Independent House,9,3,13351000
1017,4,4,Salem,Apartment,29,2,4206000
714,3,3,Hyderabad,Independent House,24,1,5384000
1216,2,2,Hyderabad,Independent House,19,3,8157000
1425,2,2,Bangalore,Villa,17,0,13035000
2249,3,4,Salem,Villa,27,3,10408000
2116,3,2,Tirunelveli,Apartment,23,0,5869000
1012,2,2,Kochi,Apartment,19,1,4170000
1328,4,3,Pune,Independent House,28,2,10069000
3408,3,3,Pune,Apartment,8,1,22506000
1275,3,2,Hyderabad,Independent House,30,1,7334000
2492,3,3,Bangalore,Apartment,14,1,19432000
3104,3,3,Trichy,Apartment,3,3,14605000
2839,2,2,Madurai,Apartment,30,2,9205000
3386,2,3,Madurai,Apartment,7,2,13207000
1722,1,1,Hyderabad,Apartment,8,1,8882000
2171,2,3,Trichy,Apartment,12,2,8367000
1577,3,3,Hyderabad,Independent House,8,1,12972000
1608,3,4,Madurai,Villa,25,1,8390000
2743,1,1,Trichy,Apartment,3,2,10079000
2287,4,4,Salem,Villa,16,1,13610000
3310,2,2,Bangalore,Independent House,15,0,24839000
636,4,4,Pune,Villa,14,0,6734000
2148,5,5,Tirunelveli,Apartment,2,1,9277000
2926,2,2,Coimbatore,Independent House,24,2,14487000
2864,3,2,Bangalore,Independent House,19,1,23384000
1472,1,1,Salem,Apartment,4,2,4596000
2421,3,3,Madurai,Apartment,22,1,8924000
1896,3,3,Salem,Villa,4,1,10376000
2709,2,2,Hyderabad,Apartment,19,1,15269000
1195,3,2,Trichy,Independent House,14,2,6265000
2503,2,3,Pune,Apartment,17,1,15256000
